Name,Price,Warranty,Status,CPU,RAM,Ổ cứng,Card VGA,Mux Switch,Màn hình,Webcam,Cổng kết nối,Trọng lượng,Pin,Hệ điều hành,Camera,MUX Swìtch,Kết nối,Cổng,Cổng Kết Nối,Cổng kết nôi,MUX Switch,Cổng giao tiếp,Mux switch,Cổng kết Nối,VGA,GPU,Mux,Kết Nối,MUXSwìtch,MUX,Mux swtich,áŧ cáŧĐng,Cáŧng Kášŋt Náŧi,Tráŧng lÆ°áŧĢng,Háŧ Äiáŧu hành,·ªî c·ª©ng,C·ªïng k·∫øt n·ªëi,Tr·ªçng l∆∞·ª£ng,H·ªá ƒëi·ªÅu hành,Cáŧng kášŋt náŧi,Ổ Cứng,Max-Q,MUXSwitch,,Đi Kèm
Lenovo LOQ 2024 15IAX9 83GS001RVN,17.990.000đ,24,Còn hàng,"Intel® Core™ i5-12450HX (2.00GHz up to 4.40GHz, 12MB Cache)",12GB DDR5 4800MHz (up to 32GB),512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,NVIDIA® GeForce RTX™ 3050 6GB GDDR6,Có,"15.6inch FHD (1920x1080) IPS 300nits Anti-glare, 100%sRGB, 144Hz",HD Webcam,"1 x USB 3.2 Gen 12 x USB 3.2 Gen 21 x USB-C® 3.2 Gen 2 (support data transfer, Power Delivery 140W and DisplayPort™ 1.4)1 x HDMI®, up to 8K/60Hz1 x Ethernet (RJ-45)1 x Headphone / microphone combo jack (3.5mm)1 x Power connector",~2.4 kg,"4-Cell, 60Wh",Windows 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo LOQ 2024 15IAX9 83GS001RVN,17.990.000đ,24,Còn hàng,"Intel® Core™ i5-12450HX (2.00GHz up to 4.40GHz, 12MB Cache)",12GB DDR5 4800MHz (up to 32GB),512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,NVIDIA® GeForce RTX™ 3050 6GB GDDR6,Có,"15.6inch FHD (1920x1080) IPS 300nits Anti-glare, 100%sRGB, 144Hz",HD Webcam,"1 x USB 3.2 Gen 12 x USB 3.2 Gen 21 x USB-C® 3.2 Gen 2 (support data transfer, Power Delivery 140W and DisplayPort™ 1.4)1 x HDMI®, up to 8K/60Hz1 x Ethernet (RJ-45)1 x Headphone / microphone combo jack (3.5mm)1 x Power connector",~2.4 kg,"4-Cell, 60Wh",Windows 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkbook 16 G6+ 2024,17.990.000đ,12,Còn hàng,"Intel Core Ultra 5 125H (2.3 GHz up to 4.5 Hz, 14 Cores, 18 Threads, 18MB Cache)",16GB DDR5 5600MHz,512GB SSD PCIe 4.0,Intel Arc Graphics,,"16,0 inch 2.5K, LED, 120Hz, 100% sRGB",,,1.9 kg,4cell 85Wh,Windows 11 bản quyền,1080p IR,,"1x USB type C1x HDMI 2.11x Thunderbolt1x Headphone / mic combo 3.52x USB type A1x TGX1x Đầu đọc thẻ SD, 1x RJ45",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkbook 16 G6+ 2024,17.990.000đ,12,Còn hàng,"Intel Core Ultra 5 125H (2.3 GHz up to 4.5 Hz, 14 Cores, 18 Threads, 18MB Cache)",16GB DDR5 5600MHz,512GB SSD PCIe 4.0,Intel Arc Graphics,,"16,0 inch 2.5K, LED, 120Hz, 100% sRGB",,,1.9 kg,4cell 85Wh,Windows 11 bản quyền,1080p IR,,"1x USB type C1x HDMI 2.11x Thunderbolt1x Headphone / mic combo 3.52x USB type A1x TGX1x Đầu đọc thẻ SD, 1x RJ45",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron 14 5430,17.990.000đ,12,Còn hàng,"Intel core i5-1340P (12 cores, 16 Threads, up to 4.6GHz, 12MB cache)",16GB LPDDR5,SSD 512GB M.2 NVMe,Intel Iris Xe Graphics,,"14"" FHD+  (1920x1200, 16:10)",HD camera,2x USB 3.2 Gen 1 Type A1x USB Type-C Thunderbolt 4.0 port with DisplayPort and Power Delivery1x HDMI 1.4 port1x  SD-card slot1x Jack tai nghe 3.5mm1x Power-adapter port 4.5 mm x 2.9 mm DC-in,1.55 kg,"4-Cell, 54Wh",Window 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron 14 5430,17.990.000đ,12,Còn hàng,"Intel core i5-1340P (12 cores, 16 Threads, up to 4.6GHz, 12MB cache)",16GB LPDDR5,SSD 512GB M.2 NVMe,Intel Iris Xe Graphics,,"14"" FHD+  (1920x1200, 16:10)",HD camera,2x USB 3.2 Gen 1 Type A1x USB Type-C Thunderbolt 4.0 port with DisplayPort and Power Delivery1x HDMI 1.4 port1x  SD-card slot1x Jack tai nghe 3.5mm1x Power-adapter port 4.5 mm x 2.9 mm DC-in,1.55 kg,"4-Cell, 54Wh",Window 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Legion Y7000 2024,17.990.000đ,12,Còn hàng,"13th Generation Intel® Core i7-13650HX, 20C (6P + 8E) xung nhịp turbo đơn nhân tối đa 4,9GHz",24 GB DDR5 (2x 12GB),512GB PCIe NVMe M.2 SSD Gen 4,NVIDIA Geforce RTX 4060 8GB GDDR6,,"15.6"" FHD (1920x1080) IPS, non-touch, 300nits, 144Hz,",HD Webcam,1x E-camera shutter1x SD card2x USB-A 3.2 Gen 21x RJ45 (mạng LAN)1x HDMI 2.11x power input2x USB-C 3.2 gen 2 USB-C,2.3 kg,"60whr, Super Rapid Charge",Windows bản quyền,,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Legion Y7000 2024,17.990.000đ,12,Còn hàng,"13th Generation Intel® Core i7-13650HX, 20C (6P + 8E) xung nhịp turbo đơn nhân tối đa 4,9GHz",24 GB DDR5 (2x 12GB),512GB PCIe NVMe M.2 SSD Gen 4,NVIDIA Geforce RTX 4060 8GB GDDR6,,"15.6"" FHD (1920x1080) IPS, non-touch, 300nits, 144Hz,",HD Webcam,1x E-camera shutter1x SD card2x USB-A 3.2 Gen 21x RJ45 (mạng LAN)1x HDMI 2.11x power input2x USB-C 3.2 gen 2 USB-C,2.3 kg,"60whr, Super Rapid Charge",Windows bản quyền,,Có,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron 14 Plus 7430,17.990.000đ,12,Còn hàng,"13th Generation Intel® Core™ i7-13620H (10 cores, 16Threads, 3.6GHz Up to 4.9GHz, 24 MB Intel® Smart Cache)","16GB, LPDDR5 4800MHz","1 TB, M.2, PCIe NVMe, SSD",Intel® Graphics,,"14.0"" 16:10 2.5K (2560 x 1600) 90Hz Anti-Glare Non-Touch 300nits WVA Display w/ ComfortView Plus",,,1.66 kg,"4 Cells, 64 Wh",Windows 11 bản quyền,1080p HD,,,2 USB 3.2 Gen 1 ports1 Thunderbolt™ 4 port with DisplayPort™ and Power Delivery1 Headset Jack1 HDMI 2.01 power-adapter port,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron 14 Plus 7430,17.990.000đ,12,Còn hàng,"13th Generation Intel® Core™ i7-13620H (10 cores, 16Threads, 3.6GHz Up to 4.9GHz, 24 MB Intel® Smart Cache)","16GB, LPDDR5 4800MHz","1 TB, M.2, PCIe NVMe, SSD",Intel® Graphics,,"14.0"" 16:10 2.5K (2560 x 1600) 90Hz Anti-Glare Non-Touch 300nits WVA Display w/ ComfortView Plus",,,1.66 kg,"4 Cells, 64 Wh",Windows 11 bản quyền,1080p HD,,,2 USB 3.2 Gen 1 ports1 Thunderbolt™ 4 port with DisplayPort™ and Power Delivery1 Headset Jack1 HDMI 2.01 power-adapter port,,,,,,,,,,,,,,,,,,,,,,,,,,,
